Date,Time,Group nr.,Total,Lying ad.m,Lying ad.f,Lying y,Lying us,Feed ad.m,Feed ad.f,Feed y,Feed us,Other ad.m,Other ad.f,Other y,Other us,,,,,,,
26-Mar,12:30,5,8,0,0,0,0,0,8,0,0,0,0,0,0,,,,,,,
26-Mar,12:30,6,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
26-Mar,12:30,7,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
26-Mar,12:40,2,3,0,2,0,0,0,1,0,0,0,0,0,0,,,,,,,
26-Mar,12:40,4,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,12:40,5,7,0,0,0,0,0,7,0,0,0,0,0,0,,,,,,,
26-Mar,12:40,6,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
26-Mar,12:40,7,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
26-Mar,12:40,8,6,0,0,0,0,0,0,0,6,0,0,0,0,,,,,,,
26-Mar,12:50,2,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,12:50,4,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,12:50,5,7,0,0,0,0,0,7,0,0,0,0,0,0,,,,,,,
26-Mar,12:50,6,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
26-Mar,12:50,7,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
26-Mar,12:50,8,6,0,0,0,0,0,0,0,6,0,0,0,0,,,,,,,
26-Mar,13:00,1,2,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,
26-Mar,13:00,2,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,13:00,4,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,13:00,5,6,0,0,0,0,0,6,0,0,0,0,0,0,,,,,,,
26-Mar,13:00,6,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
26-Mar,13:00,7,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
26-Mar,13:00,8,6,0,0,0,0,0,0,0,6,0,0,0,0,,,,,,,
26-Mar,13:10,1,2,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,
26-Mar,13:10,2,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,13:10,4,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,13:10,5,6,0,0,0,0,0,5,0,0,0,1,0,0,,,,,,,
26-Mar,13:10,6,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
26-Mar,13:10,7,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
26-Mar,13:10,8,6,0,0,0,0,0,0,0,6,0,0,0,0,,,,,,,
26-Mar,13:20,1,2,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,
26-Mar,13:20,2,2,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,,
26-Mar,13:20,4,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,13:20,5,6,0,1,0,0,0,5,0,0,0,0,0,0,,,,,,,
26-Mar,13:20,6,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
26-Mar,13:20,7,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
26-Mar,13:20,8,6,0,0,0,0,0,0,0,6,0,0,0,0,,,,,,,
26-Mar,13:30,1,2,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,
26-Mar,13:30,2,4,0,1,0,0,0,2,1,0,0,0,0,0,,,,,,,
26-Mar,13:30,4,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,13:30,5,5,0,2,0,0,0,3,0,0,0,0,0,0,,,,,,,
26-Mar,13:30,6,2,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,
26-Mar,13:30,7,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
